<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.07.10	00:03:31.368	146.304	146.412			6
2025.07.10	00:04:00.284	146.304				2
2025.07.10	00:04:31.646		146.412			4
2025.07.10	00:05:00.255	146.304				2
2025.07.10	00:05:31.850		146.412			4
2025.07.10	00:05:33.986	146.305				2
2025.07.10	00:06:00.052	146.305				2
2025.07.10	00:06:32.020		146.412			4
2025.07.10	00:07:00.018	146.305				2
2025.07.10	00:07:32.078		146.412			4
2025.07.10	00:08:00.075	146.305				2
2025.07.10	00:08:26.882		146.411			4
2025.07.10	00:08:36.131		146.407			4
2025.07.10	00:08:40.770		146.404			4
2025.07.10	00:09:00.204	146.305				2
2025.07.10	00:09:04.528		146.396			4
2025.07.10	00:09:05.140		146.401			4
2025.07.10	00:09:17.770		146.400			4
2025.07.10	00:09:21.487		146.398			4
2025.07.10	00:09:25.189		146.387			4
2025.07.10	00:09:33.828	146.304				2
2025.07.10	00:10:00.105	146.304				2
2025.07.10	00:10:05.053		146.395			4
2025.07.10	00:10:05.368		146.398			4
2025.07.10	00:10:08.137	146.305	146.405			6
2025.07.10	00:10:11.794	146.304	146.412			6
2025.07.10	00:10:33.910	146.303				2
2025.07.10	00:11:00.058	146.303				2
2025.07.10	00:11:12.080		146.412			4
2025.07.10	00:11:19.481		146.388			4
2025.07.10	00:11:25.647		146.412			4
2025.07.10	00:11:26.568		146.388			4
2025.07.10	00:11:32.997		146.412			4
2025.07.10	00:11:33.916		146.388			4
2025.07.10	00:12:00.088	146.303	146.394			6
2025.07.10	00:12:00.395		146.401			4
2025.07.10	00:12:41.910	146.306				2
2025.07.10	00:12:48.707	146.303	146.393			6
2025.07.10	00:13:00.103	146.303				2
2025.07.10	00:13:08.113	146.305	146.397			6
2025.07.10	00:13:09.550	146.304				2
2025.07.10	00:13:10.981	146.303				2
2025.07.10	00:13:22.255		146.400			4
2025.07.10	00:13:54.894		146.393			4
2025.07.10	00:14:00.141	146.303				2
2025.07.10	00:14:08.143		146.396			4
2025.07.10	00:14:09.978		146.400			4
2025.07.10	00:15:00.264	146.303				2
2025.07.10	00:15:04.254		146.397			4
2025.07.10	00:15:27.655	146.290				2
2025.07.10	00:15:28.660	146.303				2
2025.07.10	00:16:00.116	146.303				2
2025.07.10	00:16:04.433		146.397			4
2025.07.10	00:17:00.217	146.303				2
2025.07.10	00:17:04.531		146.397			4
2025.07.10	00:17:28.553	146.304				2
2025.07.10	00:18:00.260	146.304				2
2025.07.10	00:18:04.560		146.397			4
2025.07.10	00:18:37.139	146.305	146.412			6
2025.07.10	00:18:42.994	146.306				2
2025.07.10	00:18:52.514	146.305				2
2025.07.10	00:19:00.197	146.305				2
2025.07.10	00:19:20.508	146.304				2
2025.07.10	00:19:22.050	146.305				2
2025.07.10	00:19:22.479	146.304				2
2025.07.10	00:19:28.520	146.305	146.416			6
2025.07.10	00:20:00.261	146.302	146.442			6
2025.07.10	00:20:01.292		146.433			4
2025.07.10	00:20:10.081	146.301				2
2025.07.10	00:20:28.080	146.300				2
2025.07.10	00:20:31.740	146.301				2
2025.07.10	00:20:49.679	146.300				2
2025.07.10	00:21:02.056	146.297	146.428			6
2025.07.10	00:21:02.532	146.294	146.423			6
2025.07.10	00:21:02.846	146.288	146.385			6
2025.07.10	00:21:15.014	146.300	146.425			6
2025.07.10	00:21:16.137	146.290	146.359			6
2025.07.10	00:21:16.631		146.361			4
2025.07.10	00:21:18.772		146.373			4
2025.07.10	00:21:21.772		146.361			4
2025.07.10	00:21:23.407		146.359			4
2025.07.10	00:21:41.338		146.361			4
2025.07.10	00:21:43.323		146.359			4
2025.07.10	00:22:01.379	146.290				2
2025.07.10	00:22:16.146		146.362			4
2025.07.10	00:22:25.978		146.359			4
2025.07.10	00:23:01.356	146.290				2
2025.07.10	00:23:26.180		146.361			4
2025.07.10	00:23:37.438	146.283	146.359			6
2025.07.10	00:23:40.073		146.361			4
2025.07.10	00:23:41.444	146.284				2
2025.07.10	00:23:52.215		146.362			4
2025.07.10	00:24:00.233	146.284				2
2025.07.10	00:24:11.332	146.285				2
2025.07.10	00:24:26.060		146.359			4
2025.07.10	00:24:41.414	146.286				2
2025.07.10	00:25:00.084	146.286				2
2025.07.10	00:25:11.170	146.287				2
2025.07.10	00:25:13.018	146.291				2
2025.07.10	00:25:26.409		146.359			4
2025.07.10	00:25:51.209	146.288				2
2025.07.10	00:25:55.082		146.356			4
2025.07.10	00:26:00.117	146.288				2
2025.07.10	00:26:00.422		146.359			4
2025.07.10	00:26:01.350		146.356			4
2025.07.10	00:26:21.359	146.289				2
2025.07.10	00:26:51.218	146.290				2
2025.07.10	00:27:00.138	146.290				2
2025.07.10	00:27:01.373		146.356			4
2025.07.10	00:27:31.221	146.291				2
2025.07.10	00:27:47.538	146.290				2
2025.07.10	00:27:51.235	146.291				2
2025.07.10	00:28:00.137	146.291				2
2025.07.10	00:28:01.677		146.356			4
2025.07.10	00:29:00.134	146.291				2
2025.07.10	00:29:01.981		146.356			4
2025.07.10	00:30:00.148	146.291				2
2025.07.10	00:30:01.997		146.356			4
2025.07.10	00:31:00.500	146.291				2
2025.07.10	00:31:05.887		146.356			4
2025.07.10	00:31:27.268		146.360			4
2025.07.10	00:31:28.017		146.356			4
2025.07.10	00:31:50.500	146.292				2
2025.07.10	00:32:04.981	146.292				2
2025.07.10	00:32:29.639		146.356			4
2025.07.10	00:32:36.220		146.360			4
2025.07.10	00:32:36.969		146.356			4
2025.07.10	00:33:00.500	146.292				2
2025.07.10	00:33:37.531		146.356			4
2025.07.10	00:33:57.132	146.295				2
