<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.07.08	00:03:31.049	146.011	146.098			6
2025.07.08	00:04:00.305	146.011				2
2025.07.08	00:04:02.158	146.012	146.099			6
2025.07.08	00:05:00.021	146.012				2
2025.07.08	00:05:02.184	146.011	146.098			6
2025.07.08	00:06:00.115	146.011				2
2025.07.08	00:06:02.253	146.012	146.099			6
2025.07.08	00:06:20.003	146.009	146.096			6
2025.07.08	00:06:20.615		146.083			4
2025.07.08	00:06:20.924	146.012	146.099			6
2025.07.08	00:06:24.598	146.008	146.095			6
2025.07.08	00:06:26.732	146.007	146.094			6
2025.07.08	00:06:28.883	146.005	146.092			6
2025.07.08	00:06:30.409		146.079			4
2025.07.08	00:06:33.171		146.077			4
2025.07.08	00:06:33.778	145.994	146.081			6
2025.07.08	00:06:34.083	146.012	146.099			6
2025.07.08	00:06:43.261		146.091			4
2025.07.08	00:06:43.878		146.082			4
2025.07.08	00:06:44.489	146.007				2
2025.07.08	00:06:44.795		146.078			4
2025.07.08	00:06:55.511	146.006	146.087			6
2025.07.08	00:07:00.096	146.006				2
2025.07.08	00:07:00.401		146.090			4
2025.07.08	00:07:19.409		146.092			4
2025.07.08	00:08:00.194	146.006				2
2025.07.08	00:08:16.835		146.090			4
2025.07.08	00:09:00.004	146.006				2
2025.07.08	00:09:16.975		146.090			4
2025.07.08	00:10:00.067	146.006				2
2025.07.08	00:10:00.370		146.093			4
2025.07.08	00:10:00.985		146.090			4
2025.07.08	00:10:02.212		146.092			4
2025.07.08	00:10:02.838		146.090			4
2025.07.08	00:10:03.147		146.093			4
2025.07.08	00:10:03.757		146.090			4
2025.07.08	00:10:06.529		146.093			4
2025.07.08	00:10:07.449		146.091			4
2025.07.08	00:10:08.376		146.093			4
2025.07.08	00:11:00.305	146.006				2
2025.07.08	00:11:05.225		146.091			4
2025.07.08	00:11:06.462		146.093			4
2025.07.08	00:11:07.384		146.091			4
2025.07.08	00:11:13.518	146.005	146.092			6
2025.07.08	00:11:14.440		146.091			4
2025.07.08	00:11:18.729		146.089			4
2025.07.08	00:11:20.563		146.092			4
2025.07.08	00:11:21.485		146.089			4
2025.07.08	00:11:27.904		146.092			4
2025.07.08	00:11:28.828		146.089			4
2025.07.08	00:11:34.950		146.092			4
2025.07.08	00:11:35.870		146.089			4
2025.07.08	00:11:41.082	146.006				2
2025.07.08	00:11:53.646		146.093			4
2025.07.08	00:11:54.261		146.089			4
2025.07.08	00:12:00.072	146.006				2
2025.07.08	00:12:00.374	146.000	146.087			6
2025.07.08	00:12:04.039	146.007	146.089			6
2025.07.08	00:12:06.184	146.000	146.087			6
2025.07.08	00:12:07.103	146.005	146.089			6
2025.07.08	00:12:07.715	146.007				2
2025.07.08	00:12:08.326	146.006				2
2025.07.08	00:12:19.369	146.007				2
2025.07.08	00:12:24.920	146.011	146.102			6
2025.07.08	00:13:00.278	146.011				2
2025.07.08	00:13:25.198		146.102			4
2025.07.08	00:14:00.017	146.011				2
2025.07.08	00:14:25.248		146.102			4
2025.07.08	00:14:47.747	146.039	146.118			6
2025.07.08	00:14:48.056		146.134			4
2025.07.08	00:14:48.671		146.118			4
2025.07.08	00:15:00.084	146.039				2
2025.07.08	00:15:04.995	146.046	146.121			6
2025.07.08	00:15:05.297	146.050				2
2025.07.08	00:15:13.112	146.056	146.125			6
2025.07.08	00:16:56.443	146.007	146.083			6
2025.07.08	00:17:00.127	146.007				2
2025.07.08	00:17:37.927		146.094			4
2025.07.08	00:17:38.849		146.083			4
2025.07.08	00:17:47.120	145.995	146.080			6
2025.07.08	00:17:48.097	146.007				2
2025.07.08	00:18:00.027	146.007				2
2025.07.08	00:18:47.175		146.081			4
2025.07.08	00:18:48.404		146.094			4
2025.07.08	00:18:51.779		146.081			4
2025.07.08	00:19:00.085	146.007				2
2025.07.08	00:19:51.808		146.081			4
2025.07.08	00:20:00.058	146.007				2
2025.07.08	00:20:00.365	146.010				2
2025.07.08	00:20:20.367	145.995				2
2025.07.08	00:20:52.054		146.081			4
2025.07.08	00:21:01.699	145.995				2
2025.07.08	00:21:06.079	146.010				2
2025.07.08	00:21:11.016	146.011				2
2025.07.08	00:21:13.785	146.007				2
2025.07.08	00:21:52.253		146.081			4
2025.07.08	00:22:00.258	146.007				2
2025.07.08	00:22:34.767	146.005				2
2025.07.08	00:22:38.779	146.007				2
2025.07.08	00:22:44.633	146.009				2
2025.07.08	00:22:47.712	146.007				2
2025.07.08	00:22:51.410	146.011				2
2025.07.08	00:22:52.334		146.081			4
2025.07.08	00:23:00.036	146.011				2
2025.07.08	00:23:21.289	146.009				2
2025.07.08	00:23:36.371		146.079			4
2025.07.08	00:23:36.989	146.008				2
2025.07.08	00:23:38.828	145.995				2
2025.07.08	00:24:01.832	145.995				2
2025.07.08	00:24:02.355		146.077			4
2025.07.08	00:24:49.924		146.079			4
2025.07.08	00:25:00.332	145.995				2
2025.07.08	00:25:07.767		146.106			4
2025.07.08	00:25:08.399		146.076			4
2025.07.08	00:25:50.787		146.098			4
2025.07.08	00:25:51.403		146.076			4
2025.07.08	00:26:02.256	145.995				2
2025.07.08	00:26:31.924	145.996	146.074			6
2025.07.08	00:27:01.045	145.996				2
2025.07.08	00:27:25.639		146.072			4
2025.07.08	00:27:39.678	146.000				2
2025.07.08	00:27:42.003		146.065			4
2025.07.08	00:28:01.085	146.000				2
2025.07.08	00:28:02.218	146.001				2
2025.07.08	00:28:10.442		146.083			4
2025.07.08	00:28:11.059		146.065			4
2025.07.08	00:28:17.727		146.083			4
2025.07.08	00:28:18.357		146.065			4
2025.07.08	00:28:57.041		146.082			4
2025.07.08	00:28:57.662		146.065			4
2025.07.08	00:29:02.222	146.002				2
2025.07.08	00:29:57.792		146.065			4
2025.07.08	00:30:00.381	146.002				2
2025.07.08	00:30:12.218	146.003				2
2025.07.08	00:30:44.669		146.082			4
2025.07.08	00:30:45.292		146.065			4
2025.07.08	00:31:01.468	146.003				2
2025.07.08	00:31:17.523	146.000				2
2025.07.08	00:31:50.261		146.065			4
2025.07.08	00:32:01.829	146.000				2
2025.07.08	00:32:11.843	146.001				2
2025.07.08	00:32:45.421		146.064			4
2025.07.08	00:33:02.077	146.001				2
2025.07.08	00:33:18.970		146.080			4
2025.07.08	00:33:19.578		146.064			4
2025.07.08	00:33:53.784		146.080			4
2025.07.08	00:33:54.400		146.064			4
2025.07.08	00:34:06.754	146.001				2
2025.07.08	00:34:54.661		146.064			4
2025.07.08	00:35:05.260	146.001				2
2025.07.08	00:35:58.676		146.064			4
2025.07.08	00:36:05.395	146.001				2
2025.07.08	00:36:26.701	145.999	146.081			6
2025.07.08	00:36:27.323		146.064			4
2025.07.08	00:36:33.666		146.081			4
2025.07.08	00:36:34.290		146.064			4
2025.07.08	00:37:03.754	145.999				2
2025.07.08	00:37:34.957		146.064			4
2025.07.08	00:38:00.758	145.999				2
2025.07.08	00:38:37.356		146.064			4
2025.07.08	00:39:01.440	145.999				2
2025.07.08	00:39:38.203		146.064			4
2025.07.08	00:40:03.784	145.999				2
2025.07.08	00:40:37.272	145.996				2
2025.07.08	00:40:39.453		146.064			4
2025.07.08	00:40:45.887		146.067			4
2025.07.08	00:41:02.219	145.996				2
2025.07.08	00:41:33.152	145.999				2
2025.07.08	00:41:46.088		146.067			4
2025.07.08	00:42:00.250	145.999				2
2025.07.08	00:42:11.958	145.997				2
2025.07.08	00:42:19.111	145.999				2
2025.07.08	00:42:46.172		146.067			4
2025.07.08	00:43:00.004	145.999				2
2025.07.08	00:43:46.427		146.067			4
2025.07.08	00:44:00.250	145.999				2
2025.07.08	00:44:12.872	145.996				2
2025.07.08	00:44:48.201		146.067			4
2025.07.08	00:44:48.761	145.998				2
2025.07.08	00:44:58.923	145.997				2
2025.07.08	00:45:00.155	145.998				2
