<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.03.27	00:03:30.730	150.525	150.582			6
2025.03.27	00:03:54.533	150.524	150.578			6
2025.03.27	00:04:01.528	150.526				2
2025.03.27	00:04:41.779	150.525	150.574			6
2025.03.27	00:04:56.241	150.526				2
2025.03.27	00:05:01.903	150.526				2
2025.03.27	00:05:41.783		150.574			4
2025.03.27	00:06:01.452	150.526				2
2025.03.27	00:06:41.901		150.574			4
2025.03.27	00:07:01.219	150.526				2
2025.03.27	00:07:51.903		150.574			4
2025.03.27	00:07:57.952	150.532	150.585			6
2025.03.27	00:08:00.491	150.533				2
2025.03.27	00:08:50.907	150.532				2
2025.03.27	00:09:01.901	150.532	150.585			6
2025.03.27	00:10:00.321	150.532				2
2025.03.27	00:10:02.285		150.585			4
2025.03.27	00:10:02.615		150.587			4
2025.03.27	00:10:12.744	150.510	150.600			6
2025.03.27	00:10:19.192	150.509	150.599			6
2025.03.27	00:10:20.113	150.506	150.596			6
2025.03.27	00:10:20.419	150.500	150.590			6
2025.03.27	00:10:20.728	150.502	150.592			6
2025.03.27	00:10:21.035	150.500	150.590			6
2025.03.27	00:10:28.728	150.499	150.589			6
2025.03.27	00:10:46.002	150.498	150.588			6
2025.03.27	00:10:55.878	150.497	150.587			6
2025.03.27	00:11:00.202	150.497				2
2025.03.27	00:11:05.443	150.498	150.588			6
2025.03.27	00:11:06.362	150.497	150.587			6
2025.03.27	00:11:06.676	150.523	150.576			6
2025.03.27	00:11:07.587	150.497	150.587			6
2025.03.27	00:11:08.201	150.523	150.576			6
2025.03.27	00:11:11.519	150.524				2
2025.03.27	00:11:14.028	150.498	150.588			6
2025.03.27	00:11:14.948	150.524	150.574			6
2025.03.27	00:11:20.909	150.500	150.590			6
2025.03.27	00:11:21.521	150.524	150.574			6
2025.03.27	00:11:26.177	150.516				2
2025.03.27	00:11:26.930	150.522				2
2025.03.27	00:11:27.655	150.497	150.587			6
2025.03.27	00:11:28.269	150.522	150.574			6
2025.03.27	00:11:34.285	150.496	150.586			6
2025.03.27	00:11:34.908	150.522	150.574			6
2025.03.27	00:12:00.525	150.529	150.578			6
2025.03.27	00:13:00.695	150.529	150.578			6
2025.03.27	00:13:03.813	150.530	150.581			6
2025.03.27	00:13:27.276	150.529				2
2025.03.27	00:13:28.026	150.530				2
2025.03.27	00:13:34.697	150.531				2
2025.03.27	00:13:51.068	150.532				2
2025.03.27	00:13:55.680	150.526	150.578			6
2025.03.27	00:14:01.428	150.526				2
2025.03.27	00:14:02.429	150.516				2
2025.03.27	00:14:03.181	150.525				2
2025.03.27	00:14:06.353	150.531	150.580			6
2025.03.27	00:14:14.149	150.533	150.585			6
2025.03.27	00:14:19.002	150.536				2
2025.03.27	00:14:28.991	150.535				2
2025.03.27	00:15:00.307	150.536	150.589			6
2025.03.27	00:16:02.236	150.536	150.589			6
2025.03.27	00:17:00.406	150.536				2
2025.03.27	00:17:05.309		150.589			4
2025.03.27	00:18:00.307	150.536				2
2025.03.27	00:18:01.186		150.587			4
2025.03.27	00:18:15.782	150.531				2
2025.03.27	00:18:20.934		150.586			4
2025.03.27	00:18:33.776	150.532				2
2025.03.27	00:18:35.844	150.536				2
2025.03.27	00:18:46.229		150.584			4
2025.03.27	00:18:55.306		150.585			4
2025.03.27	00:18:56.917		150.587			4
2025.03.27	00:18:57.806		150.585			4
2025.03.27	00:19:03.665	150.533	150.586			6
2025.03.27	00:19:12.148	150.531	150.581			6
2025.03.27	00:19:13.991	150.534				2
2025.03.27	00:19:37.245		150.580			4
2025.03.27	00:19:42.825		150.581			4
2025.03.27	00:20:03.531	150.534				2
2025.03.27	00:20:08.332		150.580			4
2025.03.27	00:20:11.510	150.506	150.575			6
2025.03.27	00:20:11.816	150.497				2
2025.03.27	00:20:12.425	150.505				2
2025.03.27	00:20:13.038		150.576			4
2025.03.27	00:20:15.485	150.506	150.574			6
2025.03.27	00:20:16.103		150.573			4
2025.03.27	00:20:18.545		150.574			4
2025.03.27	00:20:18.851	150.504				2
2025.03.27	00:20:22.208		150.577			4
2025.03.27	00:20:23.779		150.576			4
2025.03.27	00:20:25.908	150.507	150.577			6
2025.03.27	00:20:26.214	150.535	150.598			6
2025.03.27	00:20:26.956	150.556	150.591			6
2025.03.27	00:20:30.226	150.551	150.589			6
2025.03.27	00:20:31.903	150.535	150.597			6
2025.03.27	00:20:32.625	150.547	150.589			6
2025.03.27	00:20:34.475	150.546				2
2025.03.27	00:20:35.025	150.495	150.582			6
2025.03.27	00:20:35.630	150.498	150.578			6
2025.03.27	00:20:40.913	150.483	150.547			6
2025.03.27	00:20:41.737	150.479	150.540			6
2025.03.27	00:20:42.066	150.486	150.531			6
2025.03.27	00:20:43.221	150.507	150.551			6
2025.03.27	00:21:06.711	150.507				2
2025.03.27	00:21:07.988	150.510	150.555			6
2025.03.27	00:22:00.415	150.510				2
2025.03.27	00:22:08.326		150.555			4
2025.03.27	00:22:13.075	150.516				2
2025.03.27	00:22:27.486	150.513	150.552			6
2025.03.27	00:22:32.146	150.511	150.550			6
2025.03.27	00:22:33.329	150.503	150.542			6
2025.03.27	00:22:56.902		150.552			4
2025.03.27	00:23:00.512	150.503				2
2025.03.27	00:23:08.153	150.492				2
2025.03.27	00:23:08.904	150.503				2
2025.03.27	00:23:18.229	150.492				2
2025.03.27	00:23:18.982	150.503				2
2025.03.27	00:23:31.359	150.498	150.556			6
2025.03.27	00:23:31.903	150.508				2
2025.03.27	00:24:01.425	150.508				2
2025.03.27	00:24:08.626	150.506	150.544			6
2025.03.27	00:24:09.114		150.553			4
2025.03.27	00:24:14.958		150.554			4
2025.03.27	00:24:16.303		150.551			4
2025.03.27	00:24:17.973	150.491				2
2025.03.27	00:24:18.721	150.506				2
2025.03.27	00:24:21.670		150.552			4
2025.03.27	00:24:23.055		150.549			4
2025.03.27	00:24:24.549	150.504				2
2025.03.27	00:24:25.131	150.505				2
2025.03.27	00:24:29.517		150.551			4
2025.03.27	00:24:30.225		150.556			4
2025.03.27	00:24:31.427		150.555			4
2025.03.27	00:24:32.650		150.556			4
2025.03.27	00:24:33.794	150.508				2
2025.03.27	00:24:35.644		150.554			4
2025.03.27	00:24:37.193	150.493				2
2025.03.27	00:24:37.803	150.506				2
2025.03.27	00:24:39.346		150.556			4
2025.03.27	00:24:40.822	150.505	150.552			6
2025.03.27	00:24:50.003	150.509	150.558			6
2025.03.27	00:24:51.658		150.557			4
2025.03.27	00:24:54.130		150.555			4
2025.03.27	00:24:59.234	150.493	150.553			6
2025.03.27	00:24:59.995	150.509				2
2025.03.27	00:25:00.824	150.509				2
2025.03.27	00:25:12.374	150.510				2
2025.03.27	00:25:13.752		150.554			4
2025.03.27	00:25:26.471	150.499	150.552			6
2025.03.27	00:25:27.150	150.508				2
2025.03.27	00:25:32.265	150.505	150.547			6
2025.03.27	00:25:34.304		150.544			4
2025.03.27	00:25:34.747		150.554			4
2025.03.27	00:25:54.030	150.508	150.557			6
2025.03.27	00:25:54.352	150.493				2
2025.03.27	00:25:55.133	150.508				2
2025.03.27	00:25:58.714	150.510	150.560			6
2025.03.27	00:26:01.128	150.510				2
2025.03.27	00:26:59.328		150.560			4
2025.03.27	00:27:00.826	150.510				2
2025.03.27	00:27:14.978	150.497				2
2025.03.27	00:27:15.729	150.510				2
2025.03.27	00:27:44.981	150.497				2
2025.03.27	00:27:45.728	150.510				2
2025.03.27	00:27:51.557	150.513				2
2025.03.27	00:27:59.924		150.560			4
2025.03.27	00:28:01.357	150.508	150.555			6
2025.03.27	00:28:31.351		150.559			4
