<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.08.26	00:03:31.091	147.731	147.856			6
2025.08.26	00:04:00.010	147.731				2
2025.08.26	00:04:15.085	147.705	147.861			6
2025.08.26	00:05:00.063	147.705				2
2025.08.26	00:05:15.112		147.861			4
2025.08.26	00:05:16.647	147.706	147.863			6
2025.08.26	00:05:25.839	147.705				2
2025.08.26	00:05:39.316	147.715				2
2025.08.26	00:05:41.797	147.728				2
2025.08.26	00:05:53.847	147.790				2
2025.08.26	00:05:54.150	147.731				2
2025.08.26	00:05:54.849	147.748				2
2025.08.26	00:05:55.339	147.751				2
2025.08.26	00:05:56.055	147.781				2
2025.08.26	00:05:56.670	147.745				2
2025.08.26	00:06:00.781	147.744				2
2025.08.26	00:06:01.398	147.775				2
2025.08.26	00:06:01.702	147.744				2
2025.08.26	00:06:04.342	147.751				2
2025.08.26	00:06:05.210	147.705				2
2025.08.26	00:06:12.881	147.708				2
2025.08.26	00:06:16.863		147.863			4
2025.08.26	00:07:00.109	147.708				2
2025.08.26	00:07:12.989	147.707				2
2025.08.26	00:07:16.980		147.863			4
2025.08.26	00:08:00.240	147.707				2
2025.08.26	00:08:17.132		147.863			4
2025.08.26	00:09:00.288	147.707				2
2025.08.26	00:09:17.246		147.863			4
2025.08.26	00:10:00.091	147.707				2
2025.08.26	00:10:11.507		147.867			4
2025.08.26	00:10:12.733	147.708				2
2025.08.26	00:11:00.245	147.708				2
2025.08.26	00:11:04.864		147.864			4
2025.08.26	00:11:05.167		147.867			4
2025.08.26	00:11:06.103		147.864			4
2025.08.26	00:11:12.873		147.869			4
2025.08.26	00:11:13.797		147.864			4
2025.08.26	00:11:20.269		147.869			4
2025.08.26	00:11:21.191		147.863			4
2025.08.26	00:11:27.668		147.869			4
2025.08.26	00:11:28.588		147.863			4
2025.08.26	00:11:35.069		147.869			4
2025.08.26	00:11:35.997		147.863			4
2025.08.26	00:12:00.066	147.708				2
2025.08.26	00:12:13.007	147.707				2
2025.08.26	00:12:36.151		147.863			4
2025.08.26	00:13:00.224	147.707				2
2025.08.26	00:13:36.282		147.863			4
2025.08.26	00:14:00.030	147.707				2
2025.08.26	00:14:12.970	147.708				2
2025.08.26	00:14:36.422		147.863			4
2025.08.26	00:15:00.175	147.708				2
2025.08.26	00:15:36.501		147.863			4
2025.08.26	00:16:00.235	147.708				2
2025.08.26	00:16:36.693		147.863			4
2025.08.26	00:17:00.091	147.708				2
2025.08.26	00:17:13.006	147.707				2
2025.08.26	00:17:19.452		147.862			4
2025.08.26	00:17:29.283		147.861			4
2025.08.26	00:17:38.199		147.863			4
2025.08.26	00:17:47.786		147.862			4
2025.08.26	00:18:00.135	147.707				2
2025.08.26	00:18:01.686		147.861			4
2025.08.26	00:18:26.954		147.860			4
2025.08.26	00:18:50.103		147.859			4
2025.08.26	00:19:00.251	147.707				2
2025.08.26	00:19:11.657		147.863			4
2025.08.26	00:19:38.775	147.682	147.855			6
2025.08.26	00:19:39.078		147.863			4
2025.08.26	00:19:39.458	147.708				2
2025.08.26	00:19:48.386		147.862			4
2025.08.26	00:20:00.106	147.708				2
2025.08.26	00:20:00.416	147.662				2
2025.08.26	00:20:01.028	147.682				2
2025.08.26	00:20:20.336		147.861			4
2025.08.26	00:20:23.795		147.863			4
2025.08.26	00:20:25.219		147.861			4
2025.08.26	00:20:55.914		147.860			4
2025.08.26	00:21:00.862	147.682				2
2025.08.26	00:21:33.511		147.859			4
2025.08.26	00:21:41.616		147.854			4
2025.08.26	00:22:07.500	147.682				2
2025.08.26	00:22:25.118		147.858			4
2025.08.26	00:22:35.252		147.863			4
2025.08.26	00:22:43.447	147.705	147.861			6
2025.08.26	00:22:44.474		147.860			4
2025.08.26	00:22:46.857	147.712	147.857			6
2025.08.26	00:22:47.907		147.856			4
2025.08.26	00:22:48.216		147.855			4
2025.08.26	00:22:57.837		147.854			4
2025.08.26	00:22:59.328		147.855			4
2025.08.26	00:23:00.782	147.712				2
2025.08.26	00:23:08.307		147.856			4
2025.08.26	00:23:12.140		147.855			4
2025.08.26	00:23:15.837		147.854			4
2025.08.26	00:23:18.354		147.848			4
2025.08.26	00:24:04.136	147.712				2
2025.08.26	00:24:20.037		147.848			4
2025.08.26	00:24:46.317		147.845			4
2025.08.26	00:24:46.864	147.711				2
2025.08.26	00:24:48.101		147.842			4
2025.08.26	00:24:48.618		147.844			4
2025.08.26	00:24:50.617		147.846			4
2025.08.26	00:25:03.630	147.711				2
2025.08.26	00:25:09.238		147.845			4
2025.08.26	00:25:37.738		147.844			4
2025.08.26	00:25:46.460		147.845			4
2025.08.26	00:25:48.448		147.846			4
2025.08.26	00:25:50.966		147.843			4
2025.08.26	00:25:51.617		147.844			4
2025.08.26	00:25:56.420		147.848			4
2025.08.26	00:25:57.802		147.847			4
2025.08.26	00:26:03.548	147.711				2
2025.08.26	00:26:10.307		147.845			4
2025.08.26	00:26:10.882		147.844			4
2025.08.26	00:26:16.920		147.845			4
2025.08.26	00:26:28.304		147.840			4
2025.08.26	00:26:33.877		147.841			4
2025.08.26	00:26:38.358		147.845			4
2025.08.26	00:26:38.666		147.842			4
2025.08.26	00:26:40.968		147.847			4
2025.08.26	00:26:42.911		147.848			4
2025.08.26	00:26:43.345		147.847			4
2025.08.26	00:26:45.843		147.848			4
2025.08.26	00:27:00.782	147.711				2
2025.08.26	00:27:23.638		147.847			4
2025.08.26	00:27:34.866		147.846			4
2025.08.26	00:27:47.566		147.845			4
2025.08.26	00:28:01.634	147.711				2
2025.08.26	00:28:06.238		147.844			4
2025.08.26	00:28:13.327		147.845			4
2025.08.26	00:28:38.736		147.844			4
2025.08.26	00:28:51.121		147.843			4
2025.08.26	00:29:01.634	147.711				2
2025.08.26	00:29:21.239		147.842			4
2025.08.26	00:29:38.577		147.841			4
2025.08.26	00:29:48.042		147.832			4
2025.08.26	00:29:49.286		147.836			4
2025.08.26	00:29:51.125		147.844			4
2025.08.26	00:29:52.229		147.842			4
2025.08.26	00:29:55.978		147.844			4
2025.08.26	00:29:58.109		147.843			4
2025.08.26	00:30:00.306	147.711	147.851			6
2025.08.26	00:30:03.297		147.852			4
2025.08.26	00:30:06.227		147.842			4
2025.08.26	00:30:12.127		147.838			4
2025.08.26	00:30:13.425		147.849			4
2025.08.26	00:30:17.582		147.850			4
2025.08.26	00:30:30.782		147.849			4
2025.08.26	00:30:36.243		147.852			4
2025.08.26	00:30:39.952		147.842			4
2025.08.26	00:30:42.873		147.839			4
2025.08.26	00:30:44.225		147.846			4
2025.08.26	00:30:47.286		147.847			4
2025.08.26	00:30:48.791		147.853			4
2025.08.26	00:30:50.545		147.852			4
2025.08.26	00:30:51.540	147.671	147.887			6
2025.08.26	00:30:54.323	147.672				2
2025.08.26	00:30:55.242	147.711	147.851			6
2025.08.26	00:30:57.021		147.842			4
2025.08.26	00:30:57.793	147.688	147.843			6
2025.08.26	00:30:58.099		147.833			4
2025.08.26	00:30:59.039	147.690	147.837			6
2025.08.26	00:30:59.812		147.841			4
2025.08.26	00:31:02.087	147.690				2
2025.08.26	00:31:03.256		147.832			4
2025.08.26	00:31:03.999	147.692	147.830			6
2025.08.26	00:31:04.301		147.832			4
2025.08.26	00:31:05.319		147.834			4
2025.08.26	00:31:07.377	147.737	147.849			6
2025.08.26	00:31:08.212		147.850			4
2025.08.26	00:31:08.813		147.842			4
2025.08.26	00:31:10.780		147.839			4
2025.08.26	00:31:13.809		147.837			4
2025.08.26	00:31:15.242	147.696				2
2025.08.26	00:31:15.550		147.836			4
2025.08.26	00:31:15.863	147.695				2
2025.08.26	00:31:16.163	147.733				2
2025.08.26	00:32:00.743	147.700				2
2025.08.26	00:32:01.494	147.731				2
2025.08.26	00:32:15.838		147.836			4
2025.08.26	00:33:00.356	147.731				2
2025.08.26	00:33:01.494	147.730				2
2025.08.26	00:33:17.037		147.836			4
2025.08.26	00:33:23.434		147.833			4
2025.08.26	00:33:25.138		147.832			4
2025.08.26	00:33:25.818		147.835			4
2025.08.26	00:33:27.236		147.836			4
2025.08.26	00:33:29.037		147.835			4
2025.08.26	00:33:34.033		147.834			4
2025.08.26	00:33:38.408		147.833			4
2025.08.26	00:33:43.431		147.834			4
2025.08.26	00:33:48.394		147.835			4
2025.08.26	00:33:49.737		147.833			4
2025.08.26	00:33:50.039		147.836			4
2025.08.26	00:33:50.625		147.832			4
2025.08.26	00:33:51.822		147.835			4
2025.08.26	00:33:53.429		147.836			4
2025.08.26	00:34:00.241	147.730				2
2025.08.26	00:34:07.154		147.833			4
2025.08.26	00:34:09.837		147.832			4
2025.08.26	00:34:20.018		147.830			4
2025.08.26	00:34:26.637		147.829			4
2025.08.26	00:34:42.576		147.833			4
2025.08.26	00:34:44.038		147.832			4
2025.08.26	00:34:48.399		147.833			4
2025.08.26	00:35:00.781	147.730	147.834			6
2025.08.26	00:35:10.278		147.833			4
2025.08.26	00:35:23.984		147.828			4
2025.08.26	00:35:25.407		147.830			4
2025.08.26	00:35:25.812		147.831			4
2025.08.26	00:35:31.140		147.832			4
2025.08.26	00:35:31.737		147.831			4
2025.08.26	00:35:32.196		147.834			4
2025.08.26	00:35:42.696		147.836			4
2025.08.26	00:35:43.737		147.835			4
2025.08.26	00:36:00.141	147.730				2
2025.08.26	00:36:00.780	147.699				2
2025.08.26	00:36:01.544	147.731				2
2025.08.26	00:36:01.885		147.844			4
2025.08.26	00:36:02.814		147.845			4
2025.08.26	00:36:04.813		147.844			4
2025.08.26	00:36:05.590		147.843			4
2025.08.26	00:36:06.434		147.841			4
2025.08.26	00:36:11.568		147.842			4
2025.08.26	00:36:25.105		147.841			4
2025.08.26	00:36:30.837		147.840			4
2025.08.26	00:36:31.449		147.841			4
2025.08.26	00:36:43.818		147.842			4
2025.08.26	00:37:01.545	147.732				2
2025.08.26	00:37:06.436		147.843			4
2025.08.26	00:37:12.818		147.842			4
2025.08.26	00:37:23.192		147.841			4
2025.08.26	00:37:26.037		147.842			4
2025.08.26	00:37:33.202		147.843			4
2025.08.26	00:37:36.100		147.844			4
2025.08.26	00:37:37.217	147.737	147.842			6
2025.08.26	00:37:37.840		147.844			4
2025.08.26	00:37:38.818		147.842			4
2025.08.26	00:37:40.598		147.843			4
2025.08.26	00:37:41.629		147.841			4
2025.08.26	00:37:42.636		147.840			4
2025.08.26	00:37:45.840		147.841			4
2025.08.26	00:37:47.638	147.742				2
2025.08.26	00:37:53.816	147.737	147.842			6
2025.08.26	00:37:56.421	147.742				2
2025.08.26	00:37:59.594	147.737				2
2025.08.26	00:38:00.479	147.737	147.840			6
2025.08.26	00:38:00.817	147.703				2
2025.08.26	00:38:01.561	147.739				2
