<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.02.13	00:00:00.014	154.394	154.439			6
2025.02.13	00:00:00.323	154.383	154.473			6
2025.02.13	00:00:01.069	154.337	154.495			6
2025.02.13	00:00:01.684	154.367	154.488			6
2025.02.13	00:00:02.601	154.363	154.453			6
2025.02.13	00:00:03.632	154.359	154.449			6
2025.02.13	00:00:06.398	154.331	154.489			6
2025.02.13	00:00:13.470	154.362	154.460			6
2025.02.13	00:00:19.609	154.363	154.453			6
2025.02.13	00:00:30.670		154.407			4
2025.02.13	00:00:57.698	154.362				2
2025.02.13	00:01:00.156	154.362				2
2025.02.13	00:01:01.697	154.353				2
2025.02.13	00:01:14.037	154.351				2
2025.02.13	00:01:30.387		154.405			4
2025.02.13	00:01:31.304		154.407			4
2025.02.13	00:02:00.384	154.351	154.405			6
2025.02.13	00:02:50.165	154.349				2
2025.02.13	00:03:07.308	154.349	154.405			6
2025.02.13	00:03:17.568	154.346				2
2025.02.13	00:03:40.183	154.344				2
2025.02.13	00:03:53.979	154.342				2
2025.02.13	00:04:02.228	154.322				2
2025.02.13	00:04:18.047	154.326	154.400			6
2025.02.13	00:04:31.658		154.399			4
2025.02.13	00:05:00.274	154.326	154.406			6
2025.02.13	00:05:00.601	154.313				2
2025.02.13	00:05:02.761	154.318	154.400			6
2025.02.13	00:05:09.857		154.391			4
2025.02.13	00:05:12.302		154.392			4
2025.02.13	00:05:21.170	154.315				2
2025.02.13	00:05:30.941		154.391			4
2025.02.13	00:05:31.557		154.389			4
2025.02.13	00:05:33.076		154.390			4
2025.02.13	00:05:38.884		154.389			4
2025.02.13	00:05:47.742	154.314	154.386			6
2025.02.13	00:05:50.190		154.387			4
2025.02.13	00:05:56.891		154.386			4
2025.02.13	00:06:00.254	154.314	154.388			6
2025.02.13	00:06:21.108	154.312				2
2025.02.13	00:06:34.552		154.387			4
2025.02.13	00:06:47.698	154.311				2
2025.02.13	00:07:00.215	154.311				2
2025.02.13	00:07:02.654		154.388			4
2025.02.13	00:07:25.878		154.387			4
2025.02.13	00:08:00.275	154.311				2
2025.02.13	00:08:05.807		154.386			4
2025.02.13	00:09:00.173	154.311				2
2025.02.13	00:09:06.020		154.386			4
2025.02.13	00:10:00.007	154.311				2
2025.02.13	00:10:01.534		154.387			4
2025.02.13	00:10:02.452		154.389			4
2025.02.13	00:10:03.367		154.388			4
2025.02.13	00:10:09.172		154.389			4
2025.02.13	00:10:10.089		154.388			4
2025.02.13	00:10:13.145	154.298				2
2025.02.13	00:10:14.976	154.297	154.387			6
2025.02.13	00:10:32.958	154.298	154.388			6
2025.02.13	00:10:36.318	154.297	154.387			6
2025.02.13	00:11:00.118	154.297				2
2025.02.13	00:11:05.012	154.311				2
2025.02.13	00:11:08.975	154.297				2
2025.02.13	00:11:09.895	154.311				2
2025.02.13	00:11:13.855	154.297				2
2025.02.13	00:11:15.074	154.311				2
2025.02.13	00:11:36.426		154.387			4
2025.02.13	00:11:40.739	154.309	154.386			6
2025.02.13	00:11:41.039		154.381			4
2025.02.13	00:12:00.083	154.309				2
2025.02.13	00:12:41.296		154.381			4
2025.02.13	00:12:44.367		154.380			4
2025.02.13	00:12:50.201		154.381			4
2025.02.13	00:13:00.030	154.309				2
2025.02.13	00:13:01.878		154.382			4
2025.02.13	00:13:10.830	154.310				2
2025.02.13	00:13:14.519	154.309	154.386			6
2025.02.13	00:13:21.593		154.389			4
2025.02.13	00:13:25.283	154.310	154.384			6
