<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.03.05	00:00:00.100	149.703	149.827			6
2025.03.05	00:00:00.406	149.722	149.880			6
2025.03.05	00:00:00.715	149.695	149.853			6
2025.03.05	00:00:36.317	149.692	149.850			6
2025.03.05	00:00:40.002	149.690	149.848			6
2025.03.05	00:00:48.289	149.695	149.853			6
2025.03.05	00:01:00.304	149.695				2
2025.03.05	00:01:24.289	149.699	149.857			6
2025.03.05	00:01:24.594	149.690	149.848			6
2025.03.05	00:01:25.206	149.699	149.857			6
2025.03.05	00:01:25.521	149.690	149.848			6
2025.03.05	00:01:25.825	149.699	149.857			6
2025.03.05	00:01:26.127	149.690	149.848			6
2025.03.05	00:01:26.437	149.699	149.857			6
2025.03.05	00:01:26.749	149.690	149.848			6
2025.03.05	00:01:27.055	149.699	149.857			6
2025.03.05	00:01:27.366	149.690	149.848			6
2025.03.05	00:01:28.596	149.695	149.853			6
2025.03.05	00:02:00.234	149.695				2
2025.03.05	00:02:03.616	149.694	149.852			6
2025.03.05	00:02:24.534		149.848			4
2025.03.05	00:03:00.230	149.694				2
2025.03.05	00:03:03.620	149.693				2
2025.03.05	00:03:24.556		149.848			4
2025.03.05	00:03:34.716		149.851			4
2025.03.05	00:03:43.640	149.700	149.858			6
2025.03.05	00:03:54.100	149.693	149.851			6
2025.03.05	00:04:00.267	149.693				2
2025.03.05	00:04:47.025	149.690	149.812			6
2025.03.05	00:05:00.076	149.690				2
2025.03.05	00:05:01.589	149.689				2
2025.03.05	00:05:02.127		149.798			4
2025.03.05	00:05:04.878		149.796			4
2025.03.05	00:05:20.176		149.806			4
2025.03.05	00:05:21.408		149.802			4
2025.03.05	00:05:24.141		149.803			4
2025.03.05	00:06:00.161	149.689				2
2025.03.05	00:06:04.748		149.806			4
2025.03.05	00:06:05.049		149.812			4
2025.03.05	00:06:16.685	149.707				2
2025.03.05	00:06:18.133		149.811			4
2025.03.05	00:06:19.052		149.809			4
2025.03.05	00:06:19.959		149.810			4
2025.03.05	00:06:21.190		149.808			4
2025.03.05	00:06:22.402		149.805			4
2025.03.05	00:06:23.008		149.806			4
2025.03.05	00:06:25.162		149.808			4
2025.03.05	00:06:27.597	149.699	149.812			6
2025.03.05	00:06:27.938	149.687	149.845			6
2025.03.05	00:06:28.241	149.716	149.846			6
2025.03.05	00:06:55.236	149.708	149.810			6
2025.03.05	00:06:56.158		149.811			4
2025.03.05	00:06:57.071		149.810			4
2025.03.05	00:06:59.515		149.812			4
2025.03.05	00:07:00.395	149.708	149.810			6
2025.03.05	00:07:02.219		149.812			4
2025.03.05	00:07:05.004	149.715	149.813			6
2025.03.05	00:07:05.359		149.807			4
2025.03.05	00:07:13.280		149.805			4
2025.03.05	00:07:14.193		149.806			4
2025.03.05	00:07:19.055		149.804			4
2025.03.05	00:07:19.357		149.803			4
2025.03.05	00:07:20.872		149.804			4
2025.03.05	00:07:29.084		149.802			4
2025.03.05	00:07:31.525		149.805			4
2025.03.05	00:07:38.545	149.728	149.841			6
2025.03.05	00:07:39.153		149.846			4
2025.03.05	00:08:00.502	149.728				2
2025.03.05	00:08:38.277	149.715	149.839			6
2025.03.05	00:08:40.409		149.840			4
2025.03.05	00:08:51.694	149.726	149.807			6
2025.03.05	00:08:52.310		149.806			4
2025.03.05	00:08:55.964		149.807			4
2025.03.05	00:08:59.020		149.812			4
2025.03.05	00:09:00.239	149.726	149.810			6
2025.03.05	00:09:01.148		149.809			4
2025.03.05	00:09:02.075		149.803			4
2025.03.05	00:09:15.223		149.801			4
2025.03.05	00:09:34.997		149.800			4
2025.03.05	00:09:51.427	149.727				2
2025.03.05	00:09:56.581		149.801			4
2025.03.05	00:10:00.245	149.727	149.800			6
2025.03.05	00:10:06.909	149.720				2
2025.03.05	00:10:07.829		149.805			4
2025.03.05	00:10:08.765		149.804			4
2025.03.05	00:10:09.685		149.801			4
2025.03.05	00:10:13.988	149.711				2
2025.03.05	00:10:22.281	149.712	149.802			6
2025.03.05	00:10:29.958	149.715	149.805			6
2025.03.05	00:10:31.807	149.711	149.801			6
2025.03.05	00:10:35.798	149.713	149.803			6
2025.03.05	00:10:38.258	149.714	149.804			6
2025.03.05	00:10:42.251	149.715	149.805			6
2025.03.05	00:10:49.639	149.714	149.804			6
2025.03.05	00:10:54.561	149.721	149.814			6
2025.03.05	00:10:54.863		149.816			4
2025.03.05	00:10:57.322		149.815			4
2025.03.05	00:10:58.559		149.816			4
2025.03.05	00:10:59.783		149.813			4
2025.03.05	00:11:00.091	149.721				2
2025.03.05	00:11:00.708		149.814			4
2025.03.05	00:11:03.466		149.813			4
2025.03.05	00:11:05.312		149.818			4
2025.03.05	00:11:05.923		149.819			4
2025.03.05	00:11:07.760		149.820			4
2025.03.05	00:11:08.375		149.821			4
2025.03.05	00:11:10.830		149.816			4
2025.03.05	00:11:15.745		149.818			4
2025.03.05	00:11:17.890		149.817			4
2025.03.05	00:11:22.203	149.710				2
2025.03.05	00:11:22.511		149.814			4
2025.03.05	00:11:22.817	149.744	149.834			6
2025.03.05	00:11:23.127	149.743	149.833			6
2025.03.05	00:11:23.735	149.765	149.825			6
2025.03.05	00:11:25.403	149.748				2
2025.03.05	00:11:27.121	149.744				2
2025.03.05	00:11:29.541	149.737	149.830			6
2025.03.05	00:11:30.167	149.744	149.825			6
2025.03.05	00:11:31.329		149.823			4
2025.03.05	00:11:35.940	149.737	149.827			6
2025.03.05	00:11:36.558	149.744	149.825			6
2025.03.05	00:11:39.582		149.822			4
2025.03.05	00:11:42.529	149.737	149.828			6
2025.03.05	00:11:43.144	149.744	149.822			6
2025.03.05	00:11:44.515	149.742				2
2025.03.05	00:11:47.772	149.745				2
2025.03.05	00:11:48.690	149.742	149.832			6
2025.03.05	00:11:49.609	149.745	149.822			6
2025.03.05	00:11:50.371	149.750	149.810			6
2025.03.05	00:11:55.273	149.752	149.822			6
2025.03.05	00:12:00.394	149.752				2
2025.03.05	00:12:02.350	149.750	149.810			6
2025.03.05	00:13:00.506	149.750				2
2025.03.05	00:13:03.010		149.810			4
2025.03.05	00:13:19.715	149.753	149.822			6
2025.03.05	00:13:31.080	149.750	149.810			6
2025.03.05	00:14:00.321	149.750				2
2025.03.05	00:14:31.825		149.810			4
2025.03.05	00:15:00.307	149.747	149.811			6
2025.03.05	00:15:24.896	149.756	149.822			6
2025.03.05	00:15:32.778	149.753				2
2025.03.05	00:15:41.945	149.752				2
2025.03.05	00:15:42.309	149.756				2
2025.03.05	00:16:00.508	149.756				2
2025.03.05	00:16:04.540	149.752				2
2025.03.05	00:16:17.067	149.757				2
2025.03.05	00:16:19.609	149.753				2
2025.03.05	00:16:29.609		149.822			4
2025.03.05	00:16:46.938		149.823			4
2025.03.05	00:16:47.688		149.822			4
2025.03.05	00:17:05.222	149.753				2
2025.03.05	00:17:12.070	149.752				2
2025.03.05	00:17:15.276	149.768				2
2025.03.05	00:17:16.370	149.751				2
2025.03.05	00:17:31.865	149.752				2
2025.03.05	00:17:50.507		149.822			4
2025.03.05	00:18:06.627	149.752				2
2025.03.05	00:18:08.735	149.751				2
2025.03.05	00:18:10.502		149.821			4
2025.03.05	00:18:12.065	149.752				2
2025.03.05	00:18:21.630	149.751				2
2025.03.05	00:18:26.170	149.752				2
2025.03.05	00:18:59.891	149.751				2
2025.03.05	00:19:14.626	149.751	149.821			6
2025.03.05	00:19:16.436		149.818			4
2025.03.05	00:19:20.501	149.749				2
2025.03.05	00:19:49.042		149.819			4
2025.03.05	00:20:00.507	149.749				2
2025.03.05	00:20:10.641	149.741	149.806			6
2025.03.05	00:20:10.964	149.743	149.808			6
2025.03.05	00:20:33.228		149.806			4
2025.03.05	00:20:36.256	149.744				2
2025.03.05	00:20:54.577	149.754				2
2025.03.05	00:20:55.395		149.809			4
2025.03.05	00:20:56.535		149.813			4
2025.03.05	00:20:57.581		149.814			4
2025.03.05	00:21:02.169	149.754				2
2025.03.05	00:21:08.535		149.817			4
2025.03.05	00:21:17.958	149.753				2
2025.03.05	00:21:18.604	149.754				2
2025.03.05	00:21:21.433	149.753				2
2025.03.05	00:21:24.829	149.751	149.813			6
2025.03.05	00:21:25.264	149.755	149.818			6
2025.03.05	00:22:03.064	149.755				2
2025.03.05	00:22:15.309	149.753	149.814			6
2025.03.05	00:22:15.702	149.755	149.817			6
2025.03.05	00:23:03.965	149.755				2
2025.03.05	00:23:18.970		149.817			4
2025.03.05	00:23:20.502	149.756				2
2025.03.05	00:23:40.012		149.816			4
2025.03.05	00:24:02.464	149.756				2
2025.03.05	00:24:40.959		149.816			4
2025.03.05	00:25:00.367	149.756				2
2025.03.05	00:25:24.383	149.754				2
2025.03.05	00:25:37.183	149.757				2
2025.03.05	00:25:44.763		149.816			4
2025.03.05	00:26:01.267	149.757				2
2025.03.05	00:26:11.364	149.754	149.815			6
2025.03.05	00:26:11.769	149.757	149.816			6
2025.03.05	00:26:39.737	149.761				2
2025.03.05	00:26:40.121		149.815			4
2025.03.05	00:26:42.474		149.816			4
2025.03.05	00:26:54.968	149.757				2
2025.03.05	00:26:55.433	149.761				2
